Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
MFI2	CD228, FLJ38863, MAP97, MGC4856, MTF1	ENSG00000163975	Antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	3	196715492-196756687	CD markers, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004880	Uncertain			Tissue enriched	6	salivary gland: 45.6	kidney: 8.2
MGAT5B	FLJ25132, GnT-IX, GnT-VB	ENSG00000167889	Mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B	17	74864538-74946475	Enzymes, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA017424	Uncertain			Tissue enriched	6	cerebral cortex: 13.6	testis: 2.3
MLN		ENSG00000096395	Motilin	6	33762450-33771788	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	6	duodenum: 212.4	small intestine: 37.4
MN1	MGCR, MGCR1, MGCR1-PEN	ENSG00000169184	Meningioma (disrupted in balanced translocation) 1	22	28144265-28197486	Cancer-related genes, Disease related genes, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA003072	Uncertain			Tissue enriched	6	skeletal muscle: 26.1	gallbladder: 4.1
MOV10L1	CHAMP, DJ402G11.8, DKFZp434B0717	ENSG00000073146	Mov10l1, Moloney leukemia virus 10-like 1, homolog (mouse)	22	50528308-50600119	Enzymes	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA019034	Uncertain			Tissue enriched	6	testis: 23.5	endometrium: 3.7
MS4A18		ENSG00000214782	Membrane-spanning 4-domains, subfamily A, member 18	11	60496789-60511685	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA045121	Uncertain			Tissue enriched	6	duodenum: 23.7	small intestine: 4.0
MYT1L	KIAA1106, NZF1, ZC2HC4B	ENSG00000186487	Myelin transcription factor 1-like	2	1792885-2335032	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA051866	Uncertain			Tissue enriched	6	cerebral cortex: 44.9	testis: 7.4
NAPB	SNAP-BETA, SNAPB	ENSG00000125814	N-ethylmaleimide-sensitive factor attachment protein, beta	20	23355159-23402125	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB037225, CAB037227, HPA046149, HPA050196	Supportive			Tissue enriched	6	cerebral cortex: 161.2	adrenal gland: 26.7
NCAPD3	CAP-D3, FLJ42888, hCAP-D3, hcp-6, hHCP-6, KIAA0056	ENSG00000151503	Non-SMC condensin II complex, subunit D3	11	134020014-134095348	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB022623, CAB034091	Uncertain			Tissue enriched	6	prostate: 119.0	bone marrow: 19.4
NIM1K	MGC42105	ENSG00000177453	NIM1 serine/threonine protein kinase	5	43192173-43280952	Enzymes, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA007695	Uncertain			Tissue enriched	6	cerebral cortex: 10.4	adrenal gland: 1.8
NME9	NM23-H9, TXL-2, TXNDC6	ENSG00000181322	NME/NM23 family member 9	3	137980279-138048728	Cytoskeleton related proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB020943	Uncertain			Tissue enriched	6	fallopian tube: 25.6	testis: 4.3
NOS1	nNOS, NOS	ENSG00000089250	Nitric oxide synthase 1 (neuronal)	12	117645947-117889975	Cancer-related genes, Cytoskeleton related proteins, Enzymes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB002167	Uncertain			Tissue enriched	6	skeletal muscle: 16.0	salivary gland: 2.5
NPIPB8		ENSG00000255524	Nuclear pore complex interacting protein family, member B8	16	28648975-28670003	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	No evidence		HPA011188, HPA026924, HPA053611	Uncertain	Uncertain	Nucleus	Tissue enriched	6	testis: 11.2	skin: 1.9
NXF5		ENSG00000126952	Nuclear RNA export factor 5	X	101087085-101112549	Disease related genes	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA002079	Uncertain			Tissue enriched	6	testis: 1.9	fallopian tube: 0.3
OBSCN	ARHGEF30, KIAA1556, KIAA1639, UNC89	ENSG00000154358	Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	1	228395831-228566577	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019497, HPA021186	Supportive	Uncertain	Nucleus but not nucleoli, Plasma membrane, Cytoplasm	Tissue enriched	6	skeletal muscle: 308.3	heart muscle: 49.9
ONECUT3		ENSG00000205922	One cut homeobox 3	19	1752372-1780987	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	6	stomach: 3.9	gallbladder: 0.6
OTOP3		ENSG00000182938	Otopetrin 3	17	72931814-72946087	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA023498	Uncertain			Tissue enriched	6	duodenum: 57.8	small intestine: 10.4
P2RY12	HORK3, P2Y12, SP1999	ENSG00000169313	Purinergic receptor P2Y, G-protein coupled, 12	3	151055168-151102600	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA013796, HPA014518	Supportive			Tissue enriched	6	cerebral cortex: 54.8	lymph node: 9.7
PADI1	HPAD10, PAD1, PDI, PDI1	ENSG00000142623	Peptidyl arginine deiminase, type I	1	17531621-17572500	Enzymes, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA062294	Supportive			Tissue enriched	6	esophagus: 77.2	skin: 13.1
PAGE4	CT16.7, GAGEC1, PAGE-4	ENSG00000101951	P antigen family, member 4 (prostate associated)	X	49593863-49598576	Cancer-related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA023880	Uncertain			Tissue enriched	6	placenta: 804.4	prostate: 140.1
PDE8B		ENSG00000113231	Phosphodiesterase 8B	5	76506274-76725632	Disease related genes, Enzymes, FDA approved drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA036912	Supportive	Uncertain	Nucleus but not nucleoli, Cytoplasm, Centrosome	Tissue enriched	6	thyroid gland: 191.6	endometrium: 30.3
PDX1	IDX-1, IPF1, MODY4, PDX-1, STF-1	ENSG00000139515	Pancreatic and duodenal homeobox 1	13	28494157-28500368	Disease related genes, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB025873, HPA059146	Supportive			Tissue enriched	6	duodenum: 30.9	stomach: 5.4
PF4	CXCL4, SCYB4	ENSG00000163737	Platelet factor 4	4	74846794-74847841	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB026008, HPA052485	Supportive			Tissue enriched	6	bone marrow: 48.8	spleen: 8.7
PLG		ENSG00000122194	Plasminogen	6	161123270-161174347	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000668, CAB016678, HPA021602	Supportive			Tissue enriched	6	liver: 1262.6	kidney: 200.0
PNPLA2	ATGL, desnutrin, FP17548, iPLA2zeta, TTS-2.2	ENSG00000177666	Patatin-like phospholipase domain containing 2	11	818902-825573	Disease related genes, Enzymes, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA055173		Supportive	Vesicles	Tissue enriched	6	adipose tissue: 428.0	bone marrow: 74.5
POTEM	ACT, P704P, POTE14beta	ENSG00000187537	POTE ankyrin domain family, member M	14	19983559-20020272	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	No evidence		HPA042822	Uncertain			Tissue enriched	6	prostate: 13.2	testis: 2.3
PPBP	b-TG1, Beta-TG, CTAP3, CTAPIII, CXCL7, LA-PF4, LDGF, MDGF, NAP-2, NAP-2-L1, PBP, SCYB7, TGB, TGB1, THBGB1	ENSG00000163736	Pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	4	74852755-74853914	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008354, CAB017624	Supportive			Tissue enriched	6	bone marrow: 103.3	spleen: 16.8
PRR9		ENSG00000203783	Proline rich 9	1	153190060-153191793		Evidence at transcript level	Evidence at transcript level	No evidence		HPA027714	Uncertain			Tissue enriched	6	testis: 1.4	tonsil: 0.2
PRSS56		ENSG00000237412	Protease, serine, 56	2	233385173-233390422	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	6	skeletal muscle: 3.3	testis: 0.5
PTCHD3	FLJ44037, PTR	ENSG00000182077	Patched domain containing 3	10	27687116-27703297	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA044613	Supportive			Tissue enriched	6	testis: 4.3	pancreas: 0.8
RAB11FIP3	eferin, KIAA0665, Rab11-FIP3	ENSG00000090565	RAB11 family interacting protein 3 (class II)	16	475619-573011	Cancer-related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028088, HPA028631, HPA030086	Uncertain	Supportive	Vesicles, Microtubule organizing center, Cytoskeleton (Cytokinetic bridge)	Tissue enriched	6	kidney: 141.4	testis: 23.9
RAB3A		ENSG00000105649	RAB3A, member RAS oncogene family	19	18307594-18314884	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003160, CAB009949	Supportive			Tissue enriched	6	cerebral cortex: 107.8	heart muscle: 16.6
RAB6B		ENSG00000154917	RAB6B, member RAS oncogene family	3	133543083-133614680	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB017713, HPA059131	Uncertain			Tissue enriched	6	cerebral cortex: 107.3	fallopian tube: 18.9
RD3	C1orf36, LCA12	ENSG00000198570	Retinal degeneration 3	1	211649864-211666259	Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	6	adrenal gland: 1.1	smooth muscle: 0.2
RFPL3		ENSG00000128276	Ret finger protein-like 3	22	32750872-32757148		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	6	testis: 2.4	prostate: 0.4
RFPL3S	NCRNA00005, RFPL3-AS, RFPL3-AS1	ENSG00000205853	RFPL3 antisense	22	32755893-32778039		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA020052	Uncertain			Tissue enriched	6	testis: 49.9	prostate: 8.7
RFPL4B	RNF211	ENSG00000251258	Ret finger protein-like 4B	6	112668532-112672498		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA059324	Uncertain			Tissue enriched	6	testis: 1.9	placenta: 0.3
RGR	RP44	ENSG00000148604	Retinal G protein coupled receptor	10	86004809-86019716	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	6	cerebral cortex: 11.1	testis: 1.7
RIMS3	NIM3, RIM3	ENSG00000117016	Regulating synaptic membrane exocytosis 3	1	41086351-41131329	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	6	cerebral cortex: 33.5	adrenal gland: 6.1
RP11-234B24.6		ENSG00000255639	Uncharacterized protein 	12	4766800-4853747		Evidence at transcript level	Evidence at transcript level							Tissue enriched	6	testis: 2.1	small intestine: 0.3
RP11-371E8.4		ENSG00000259066	Uncharacterized protein 	14	93651318-93684932	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level							Tissue enriched	6	testis: 7.9	smooth muscle: 1.3
RP11-386G21.2		ENSG00000253857	Uncharacterized protein 	8	56074043-56077287		Evidence at transcript level	Evidence at transcript level							Tissue enriched	6	testis: 1.7	skin: 0.3
RP11-463J10.2		ENSG00000258928	Uncharacterized protein 	14	52382863-52385289		Evidence at transcript level	Evidence at transcript level							Tissue enriched	6	testis: 5.1	bone marrow: 0.8
RP11-536G4.1		ENSG00000258292	Uncharacterized protein 	12	96196875-96217085		Evidence at transcript level	Evidence at transcript level							Tissue enriched	6	kidney: 2.6	adrenal gland: 0.4
RSPH1	FLJ32753, RSP44, RSPH10A, TSGA2	ENSG00000160188	Radial spoke head 1 homolog (Chlamydomonas)	21	43892596-43916464	Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA016816, HPA017382	Supportive	Uncertain	Nucleus but not nucleoli	Tissue enriched	6	fallopian tube: 158.9	testis: 24.6
RUNDC3A	RAP2IP, RPIP8	ENSG00000108309	RUN domain containing 3A	17	42385781-42396039	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA023548	Uncertain	Uncertain	Vesicles	Tissue enriched	6	cerebral cortex: 111.4	adrenal gland: 20.1
SCGB1D4	IIS	ENSG00000197745	Secretoglobin, family 1D, member 4	11	62063754-62066536	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA060515	Uncertain			Tissue enriched	6	fallopian tube: 52.9	endometrium: 8.7
SEMA6C	KIAA1869	ENSG00000143434	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	1	151104161-151119104	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	6	skeletal muscle: 132.6	testis: 23.8
SERPINA3	AACT, ACT, alpha-1-antichymotrypsin	ENSG00000196136	Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	14	95078714-95090392	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000893, HPA002560, CAB016647	Supportive			Tissue enriched	6	liver: 1327.5	pancreas: 235.8
SFMBT1	DKFZp434L243, RU1, SFMBT	ENSG00000163935	Scm-like with four mbt domains 1	3	52937588-53080766	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA036152, HPA036153	Uncertain	Supportive	Nucleus but not nucleoli	Tissue enriched	6	testis: 49.2	tonsil: 8.9
